Comment,Designator,Footprint,LCSC
Molex 0472192001,J15,0472192001,
ESP32-DEVKITC-32D,U4,MODULE_ESP32-DEVKITC-32D,
INA229,U8,VSSOP-10_3x3mm_P0.5mm,
10K,R32,R_0805_2012Metric,
10K,R31,R_0805_2012Metric,
10R,R30,R_0805_2012Metric,
10R,R23,R_0805_2012Metric,
Shunt,J9,Terminal-Block_3.81_4P_LCSC_C395880,
100nF,C14,C_0805_2012Metric,
1uF,C13,C_0805_2012Metric,
0.1uF-100V,C12,C_0805_2012Metric,
ScrewTerminal,J5,Terminal-Block_3.81_2P-LCSC_C395878,
10K,R22,R_0805_2012Metric,
MHPC3528CRGBCT,D6,LED_MHPC3528CRGBCT,
SN65HVD1050D,U7,SOIC-8_3.9x4.9mm_P1.27mm,
TXS0102DCU,U1,VSSOP-8_2.3x2mm_P0.5mm,
100nF,C9,C_0805_2012Metric,
100nF,C8,C_0805_2012Metric,
SN65HVD75DR,U5,SOIC-8_3.9x4.9mm_P1.27mm,
Unused header,J14,PinHeader_1x07_P2.54mm_Vertical,
TCA6416APWR,U3,TSSOP-24_4.4x7.8mm_P0.65mm,
Fiducial_1mm_Mask2mm,FID4,Fiducial_1mm_Mask2mm,
Fiducial_1mm_Mask2mm,FID3,Fiducial_1mm_Mask2mm,
Fiducial_1mm_Mask2mm,FID2,Fiducial_1mm_Mask2mm,
Fiducial_1mm_Mask2mm,FID1,Fiducial_1mm_Mask2mm,
10K,R29,R_0805_2012Metric,
22uF,C5,C_1206_3216Metric,
1M,R20,R_0805_2012Metric,
AO3400A,Q4,SOT-23,
"Fuse, 1.85A",F1,Fuse_2920_7451Metric,
SW_Push,SW2,SW_PUSH_6mm_H5mm,
22K,R28,R_0805_2012Metric,
51K,R27,R_0805_2012Metric,
1uF,C11,C_0805_2012Metric,
SW_Push,SW1,SW_PUSH_6mm_H5mm,
22K,R26,R_0805_2012Metric,
51K,R7,R_0805_2012Metric,
1uF,C7,C_0805_2012Metric,
YELLOW LED,D4,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
YELLOW LED,D3,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
LL4148,D5,D_MiniMELF,
LL4148,D2,D_MiniMELF,
LCD,LCD1,TFTSPI_2_8_240x320_TOUCH,
NUP2105LT1G,D8,SOT-23,
ScrewTerminal,J12,Terminal-Block_3.81_4P_LCSC_C395880,
AQY282SX,U12,SO-4_4.4x3.6mm_P2.54mm,
220R,R25,R_0805_2012Metric,
AQY282SX,U9,SO-4_4.4x3.6mm_P2.54mm,
AMS1117-3.3,U6,SOT-223-3_TabPin2,
EL3H7(B)(TA)-G,U2,SOP-4_4.4x2.6mm_P1.27mm,
Transmit,TX1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,
Receive,RX1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,
22K,R24,R_0805_2012Metric,
220R,R21,R_0805_2012Metric,
10K,R19,R_0805_2012Metric,
220R,R18,R_0805_2012Metric,
220R,R17,R_0805_2012Metric,
2K2,R16,R_0805_2012Metric,
51K,R15,R_0805_2012Metric,
560R,R14,R_0805_2012Metric,
560R,R13,R_0805_2012Metric,
560R,R12,R_0805_2012Metric,
51K,R11,R_0805_2012Metric,
560R,R10,R_0805_2012Metric,
120R,R9,R_0805_2012Metric,
120R,R8,R_0805_2012Metric,
120R,R6,R_0805_2012Metric,
2K2,R5,R_0805_2012Metric,
560R,R4,R_0805_2012Metric,
180R,R3,R_0805_2012Metric,
2K2,R2,R_0805_2012Metric,
220R,R1,R_0805_2012Metric,
AO3401A,Q3,SOT-23,
AO3400A,Q2,SOT-23,
AO3400A,Q1,SOT-23,
Conn_01x02_Female,J10,PinHeader_1x02_P2.54mm_Horizontal,
2x3 2.54mm IDC Connectors,J8,PinHeader_2x03_P2.54mm_Vertical,
RGB,D1,LED_RGB_5050-6,
1uF,C10,C_0805_2012Metric,
100nF,C6,C_0805_2012Metric,
22uF 6.3V,C4,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,
22uF 6.3V,C3,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,
100nF,C2,C_0805_2012Metric,
100nF,C1,C_0805_2012Metric,
SRD-05VDC-SL-C,K2,RELAY_SRD-05VDC-SL-C,
SRD-05VDC-SL-C,K1,RELAY_SRD-05VDC-SL-C,
ScrewTerminal,J7,Terminal-Block_3.81_4P_LCSC_C395880,
ScrewTerminal,J4,Terminal-Block_3.81_4P_LCSC_C395880,
ScrewTerminal3Pin,J3,Terminal-Block_5.0mm_3P-LCSC_C395850,
ScrewTerminal3Pin,J2,Terminal-Block_5.0mm_3P-LCSC_C395850,
ScrewTerminal,J1,Terminal-Block_3.81_4P_LCSC_C395880,
