Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,51.51898,26.6892,0.0,top
C2,100nF,C_0805_2012Metric,69.6,21.1,0.0,top
C3,22uF 6.3V,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,86.9692,70.186,0.0,top
C4,22uF 6.3V,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,89.4542,67.836,0.0,top
C5,22uF,C_1206_3216Metric,67.5,16.5,180.0,top
C6,100nF,C_0805_2012Metric,58.69248,22.66,0.0,top
C7,1uF,C_0805_2012Metric,97.941,16.129,0.0,top
C8,100nF,C_0805_2012Metric,73.4,28.3,0.0,top
C9,100nF,C_0805_2012Metric,79.3,25.2,0.0,top
C10,1uF,C_0805_2012Metric,98.9,54.15,0.0,top
C11,1uF,C_0805_2012Metric,105.307,16.129,0.0,top
C12,0.1uF-100V,C_0805_2012Metric,46.49,76.21,0.0,top
C13,1uF,C_0805_2012Metric,46.54,73.585,180.0,top
C14,100nF,C_0805_2012Metric,46.54,71.535,180.0,top
D1,RGB,LED_RGB_5050-6,13.475,14.625,180.0,top
D2,LL4148,D_MiniMELF,115.35,63.57,90.0,top
D3,YELLOW LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,91.6,85.85,0.0,top
D4,YELLOW LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,72.725,85.675,0.0,top
D5,LL4148,D_MiniMELF,61.675,59.3,0.0,top
D6,MHPC3528CRGBCT,LED_MHPC3528CRGBCT,6.25,14.7,0.0,top
D8,NUP2105LT1G,SOT-23,79.04,11.64,-90.0,top
F1,"Fuse, 1.85A",Fuse_2920_7451Metric,86.75,75.76,0.0,top
FID1,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,9.5,84.1,0.0,top
FID2,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,9.0,6.5,0.0,top
FID3,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,113.75,6.5,0.0,top
FID4,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,113.75,81.0,0.0,top
J1,ScrewTerminal,Terminal-Block_3.81_4P_LCSC_C395880,18.875,5.2,0.0,top
J2,ScrewTerminal3Pin,Terminal-Block_5.0mm_3P-LCSC_C395850,101.475,83.55,180.0,top
J3,ScrewTerminal3Pin,Terminal-Block_5.0mm_3P-LCSC_C395850,62.31,83.6,180.0,top
J4,ScrewTerminal,Terminal-Block_3.81_4P_LCSC_C395880,57.460686,5.19634,0.0,top
J5,ScrewTerminal,Terminal-Block_3.81_2P-LCSC_C395878,82.925,83.55,180.0,top
J7,ScrewTerminal,Terminal-Block_3.81_4P_LCSC_C395880,74.28402,5.21134,0.0,top
J8,2x3 2.54mm IDC Connectors,PinHeader_2x03_P2.54mm_Vertical,40.675,4.975,-90.0,top
J9,Shunt,Terminal-Block_3.81_4P_LCSC_C395880,44.29,83.77,180.0,top
J10,Conn_01x02_Female,PinHeader_1x02_P2.54mm_Horizontal,30.025,5.725,-90.0,top
J12,ScrewTerminal,Terminal-Block_3.81_4P_LCSC_C395880,18.875,83.77,180.0,top
J14,Unused header,PinHeader_1x07_P2.54mm_Vertical,109.425,25.3,90.0,top
J15,Molex 0472192001,0472192001,100.7,44.4,-90.0,top
K1,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,103.4775,68.7,180.0,top
K2,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,64.3125,68.75,180.0,top
LCD1,LCD,TFTSPI_2_8_240x320_TOUCH,76.55,45.125,180.0,top
Q1,AO3400A,SOT-23,116.8,70.6,180.0,top
Q2,AO3400A,SOT-23,66.675,57.85,90.0,top
Q3,AO3401A,SOT-23,80.1,74.0,90.0,top
Q4,AO3400A,SOT-23,87.02,18.625,0.0,top
R1,220R,R_0805_2012Metric,20.43724,18.325,0.0,top
R2,2K2,R_0805_2012Metric,87.0,14.5,0.0,top
R3,180R,R_0805_2012Metric,92.38,22.88,180.0,top
R4,560R,R_0805_2012Metric,20.43724,16.375,0.0,top
R5,2K2,R_0805_2012Metric,7.3037,72.775,180.0,top
R6,120R,R_0805_2012Metric,81.2,17.2,180.0,top
R7,51K,R_0805_2012Metric,101.37,12.827,0.0,top
R8,120R,R_0805_2012Metric,79.3,68.95,-90.0,top
R9,120R,R_0805_2012Metric,47.84,15.67,0.0,top
R10,560R,R_0805_2012Metric,117.95,66.85,-90.0,top
R11,51K,R_0805_2012Metric,117.8,73.7,0.0,top
R12,560R,R_0805_2012Metric,91.6,83.475,0.0,top
R13,560R,R_0805_2012Metric,72.375,83.525,0.0,top
R14,560R,R_0805_2012Metric,62.975,57.0,180.0,top
R15,51K,R_0805_2012Metric,69.725,57.83,-90.0,top
R16,2K2,R_0805_2012Metric,3.675,72.775,0.0,top
R17,220R,R_0805_2012Metric,20.43724,14.425,0.0,top
R18,220R,R_0805_2012Metric,27.245,71.7,0.0,top
R19,10K,R_0805_2012Metric,58.67248,20.5,180.0,top
R20,1M,R_0805_2012Metric,87.0,22.88,0.0,top
R21,220R,R_0805_2012Metric,41.7,33.5,0.0,top
R22,10K,R_0805_2012Metric,94.0,54.18,0.0,top
R23,10R,R_0805_2012Metric,46.49,78.26,0.0,top
R24,22K,R_0805_2012Metric,20.43724,12.425,180.0,top
R25,220R,R_0805_2012Metric,15.945,74.15,0.0,top
R26,22K,R_0805_2012Metric,97.921,12.827,0.0,top
R27,51K,R_0805_2012Metric,108.736,12.827,0.0,top
R28,22K,R_0805_2012Metric,105.287,12.827,0.0,top
R29,10K,R_0805_2012Metric,47.0,34.9,0.0,top
R30,10R,R_0805_2012Metric,50.09,78.36,0.0,top
R31,10K,R_0805_2012Metric,42.635,72.99,180.0,top
R32,10K,R_0805_2012Metric,39.13,72.98,180.0,top
RX1,Receive,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,85.58072,4.7004,0.0,top
SW1,SW_Push,SW_PUSH_6mm_H5mm,99.937,4.774,90.0,top
SW2,SW_Push,SW_PUSH_6mm_H5mm,107.5,4.774,90.0,top
TX1,Transmit,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,92.591,4.7004,0.0,top
U1,TXS0102DCU,VSSOP-8_2.3x2mm_P0.5mm,75.1,24.98,0.0,top
U2,EL3H7(B)(TA)-G,SOP-4_4.4x2.6mm_P1.27mm,92.30832,17.4195,-90.0,top
U3,TCA6416APWR,TSSOP-24_4.4x7.8mm_P0.65mm,60.0,14.5,0.0,top
U4,ESP32-DEVKITC-32D,MODULE_ESP32-DEVKITC-32D,15.878894,46.65425,0.0,top
U5,SN65HVD75DR,SOIC-8_3.9x4.9mm_P1.27mm,49.58498,21.7492,0.0,top
U6,AMS1117-3.3,SOT-223-3_TabPin2,88.0742,61.971,-90.0,top
U7,SN65HVD1050D,SOIC-8_3.9x4.9mm_P1.27mm,75.2,19.9,0.0,top
U8,INA229,VSSOP-10_3x3mm_P0.5mm,40.665,77.435,0.0,top
U9,AQY282SX,SO-4_4.4x3.6mm_P2.54mm,24.525,74.85,180.0,top
U12,AQY282SX,SO-4_4.4x3.6mm_P2.54mm,13.225,77.3,180.0,top
